,敦賀,,,,,,,,,,,,,,,,,,
南今庄,380,南今庄,,,,,,,,,,,,,,,,,
今庄,380,170,今庄,,,,,,,,,,,,,,,,
湯尾,480,230,220,湯尾,,,,,,,,,,,,,,,
南条,590,230,230,220,南条,,,,,,,,,,,,,,
王子保,680,280,280,230,220,王子保,,,,,,,,,,,,,
武生,780,380,380,280,230,220,武生,,,,,,,,,,,,
鯖江,890,480,480,380,280,230,220,鯖江,,,,,,,,,,,
北鯖江,890,590,480,480,380,280,230,220,北鯖江,,,,,,,,,,
大土呂,990,680,590,590,480,380,280,230,220,大土呂,,,,,,,,,
越前花堂,1140,680,680,590,590,480,380,280,230,220,越前花堂,,,,,,,,
福井,1140,780,680,680,590,480,380,280,280,220,170,福井,,,,,,,
森田,1140,890,890,780,680,590,480,380,380,280,230,220,森田,,,,,,
春江,1140,990,890,780,780,680,590,480,380,280,280,230,170,春江,,,,,
丸岡,1350,990,990,890,780,780,680,590,480,380,280,280,220,220,丸岡,,,,
芦原温泉,1540,1140,1140,990,990,890,780,680,590,480,480,380,280,230,220,芦原温泉,,,
細呂木,1540,1140,1140,1140,990,890,890,780,680,590,480,480,380,280,230,220,細呂木,,
牛ノ谷,1540,1350,1140,1140,1140,990,890,780,780,680,590,480,380,380,280,230,220,牛ノ谷,
大聖寺,1750,1350,1350,1350,1140,1140,990,890,890,780,680,680,480,480,380,280,230,220,大聖寺